Island,area,elevation
Baltra,21,100
Bartolomé,1.2,114
Española,60,206
Fernandina,642,1476
Floreana,173,640
Genovesa,14,64
Isabella,4670,1707
Marchena,130,343
North_Seymour,1.8,28
Pinzón,18,458
Pinta,60,650
Rábida,4.9,367
San_Cristóbal,557,730
Santa_Cruz,986,864
Santa_Fe,24,259
San_Salvador,572,905
